bandName,versionName,versionLabel,qF0,qGroupDifference,r,logLikelihood,converged,anyConverged,logLikelihoodIsMonotone,emIterations,hitBoundary,groupDifferenceMean_dB,groupDifferenceMin_dB,groupDifferenceMax_dB,groupDifferenceMeanSD_dB,groupDifferenceExcludesZero,negativeExclusionAgeLow,negativeExclusionAgeHigh,positiveExclusionAgeLow,positiveExclusionAgeHigh
delta,EM-Joint,"EM fit q and r",12.9714417577316,18.6660536822372,7.75329746501811,-58.0946532682043,0,0,0,100,0,-2.28143554700603,-3.38304137125599,-1.10454605019309,2.26652995998259,0,NaN,NaN,NaN,NaN
delta,FixedHeuristicQ,"Fixed heuristic q",1.52088034622222,1.52088034622222,9.16073611786811,-57.5279710666477,1,1,1,10,0,-2.60155476720964,-3.0777747718882,-2.04393345703419,2.017734371124,0,NaN,NaN,NaN,NaN
delta,FixedSmoothQ,"Fixed smooth q",0.152088034622223,0.152088034622223,10.7644836905881,-57.976116093585,1,1,1,8,0,-2.80840179653768,-3.61615835120387,-2.07569011560816,2.06125486956436,0,NaN,NaN,NaN,NaN
delta,Profile-q,"Profile likelihood q, fixed r",3.85662042116347,0.01,9.16073611786811,-57.1260614968761,0,0,1,NaN,1,-2.47323887944943,-2.95399274756005,-2.09136615121112,1.9302985143769,0,NaN,NaN,NaN,NaN
