bandName,versionName,versionLabel,qF0,qGroupDifference,r,logLikelihood,converged,anyConverged,logLikelihoodIsMonotone,emIterations,hitBoundary,groupDifferenceMean_dB,groupDifferenceMin_dB,groupDifferenceMax_dB,groupDifferenceMeanSD_dB,groupDifferenceExcludesZero,negativeExclusionAgeLow,negativeExclusionAgeHigh,positiveExclusionAgeLow,positiveExclusionAgeHigh
alpha,EM-Joint,"EM fit q and r",21.8420075435392,24.0838777415851,14.8077311518571,-62.5622037412177,0,0,0,100,0,-4.65230971067203,-7.62744266849635,-2.60037563153088,2.98571923217454,1,14.0301369863014,14.8657534246575,NaN,NaN
alpha,FixedHeuristicQ,"Fixed heuristic q",2.99064001203898,2.99064001203898,15.7319389160247,-61.4769239020515,1,1,1,10,0,-5.0419670137277,-6.24787282472834,-3.41859109626993,2.62401444836009,1,12.1945205479452,14.8657534246575,NaN,NaN
alpha,FixedSmoothQ,"Fixed smooth q",0.299064001203898,0.299064001203898,17.1241694508647,-61.5112158351588,1,1,1,8,0,-5.29128620783895,-6.11987218493051,-4.13267096351874,2.56502197397416,1,11.6794520547945,14.8657534246575,NaN,NaN
alpha,Profile-q,"Profile likelihood q, fixed r",3.85662042116347,0.01,15.7319389160247,-61.2531957998028,0,0,1,NaN,1,-4.99973856195282,-6.20410765222815,-3.48964196929475,2.47649338340826,1,12.1945205479452,15.1972602739726,NaN,NaN
