bandName,versionName,versionLabel,qF0,qGroupDifference,r,logLikelihood,converged,anyConverged,logLikelihoodIsMonotone,emIterations,hitBoundary,groupDifferenceMean_dB,groupDifferenceMin_dB,groupDifferenceMax_dB,groupDifferenceMeanSD_dB,groupDifferenceExcludesZero,negativeExclusionAgeLow,negativeExclusionAgeHigh,positiveExclusionAgeLow,positiveExclusionAgeHigh
theta,EM-Joint,"EM fit q and r",16.2027562939911,14.4854047941957,6.42810401370491,-57.1087674606939,0,0,0,100,0,-3.00021483368066,-4.73270830681159,-2.11231315658438,2.07968463054567,0,NaN,NaN,NaN,NaN
theta,FixedHeuristicQ,"Fixed heuristic q",1.61586011551418,1.61586011551418,8.03471746728258,-56.7635798489806,1,1,1,11,0,-3.28044195632638,-3.38580406888248,-3.12130229180468,1.91267622705315,1,11.6794520547945,14.0328767123288,NaN,NaN
theta,FixedSmoothQ,"Fixed smooth q",0.161586011551418,0.161586011551418,9.84708920969569,-57.3836744559881,1,1,1,9,0,-3.49814611559594,-3.69417215883152,-3.23030924902531,1.9782301137633,1,11.6794520547945,13.9342465753425,NaN,NaN
theta,Profile-q,"Profile likelihood q, fixed r",5.73615251044868,0.01,8.03471746728258,-56.2588528893529,0,0,1,NaN,1,-3.12730669958205,-3.24259598731527,-2.98585851360915,1.82409013725723,1,12.1945205479452,14.0328767123288,NaN,NaN
