runLabel,hyperparameterMethod,sigmaBioMethod,dataStructure,qF0,qDelta,sigmaBio,logLikelihood,emIterations,converged,logLikelihoodIsMonotone,hitBoundary,meanDelta,minDelta,maxDelta,maxBandWidth,bandExcludesZero,negativeExclusionAgeLow,negativeExclusionAgeHigh,positiveExclusionAgeLow,positiveExclusionAgeHigh,source,profileMaxLogLikelihood
A,fixed qInit,fixed empirical,collapsed 19-row,2.97492310599522,2.97492310599522,14.5064188457534,-61.3976452830658,NaN,1,1,0,-4.85016412790568,-5.98009928129662,-2.74225916051379,14.8949178720853,1,12.1945205479452,14.8657534246575,NaN,NaN,,NaN
B,EM q,fixed empirical,collapsed 19-row,14.0411894580577,25.5393804984836,14.5064188457534,-62.5445912119802,100,0,0,0,-4.60530607390257,-6.48928913331079,-1.78680302439528,18.391181343851,1,13.9342465753425,14.8657534246575,NaN,NaN,,NaN
C,joint EM q+sigma,joint EM,collapsed 19-row,15.2638164915942,36.5248554194489,15.7547302068687,-62.8095089989736,100,0,0,0,-4.5944894736228,-6.53710451663587,-1.6282765662186,19.3430540926502,1,14.0301369863014,14.5780821917808,NaN,NaN,outputs/ssm_step4_em_age_difference_results_subepochs_collapsed.mat,NaN
D,joint EM q+sigma,joint EM,sub-epoch 76-row,1000000,1000000,1.32289808390829,-234.89846501477,29,1,0,1,-15.5384237132763,-126.393453619283,95.5460928757687,339.927942164211,1,14.2027397260274,14.5780821917808,13.9342465753425,13.9342465753425,outputs/ssm_step4_em_age_difference_results_subepoch76.mat,NaN
E,fixed qInit,EM sigma,collapsed 19-row,2.97492310599522,2.97492310599522,15.71959690046,-61.3723285139331,10,1,1,0,-4.8482593384319,-5.986277809002,-2.72529274974505,15.2827446808801,1,12.1945205479452,14.8657534246575,NaN,NaN,,NaN
F,profile likelihood q,fixed empirical,collapsed 19-row,3.85662042116347,0.01,14.5064188457534,-61.1884710398908,NaN,1,1,1,-4.80941832900635,-6.21973695603633,-3.0382893668393,13.4780115965975,1,12.1945205479452,15.1972602739726,NaN,NaN,,-61.1884710398908
